lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
SAMV2,SAMUEL GROVE CHURCH IFLOWS,36.566388888889,-80.584444444444,0.16,PP,RR,1001,Hourly 2018-06-29 00:00:00Z / Hourly 2018-06-29 01:00:00Z,9999,9999,9999,None
KNYN7,#21 KENNEDY JR HIGH SCHOOL,35.153611111111,-80.955833333333,0.23,PC,RR,0,Hourly 2018-06-29 00:00:00Z / Precip Acc 2018-06-29 02:10:00Z,9999,9999,9999,None
C0041,Brunswick,31.24,-81.5,0.1,PC,RZ,0,Precip Acc 2018-06-28 23:22:06Z / Precip Acc 2018-06-29 02:12:08Z,9999,9999,9999,None
F2355,Chattanooga,35.102,-85.286,0.01,PC,RZ,0,Precip Acc 2018-06-28 23:23:43Z / Precip Acc 2018-06-29 02:13:51Z,1594219620000,1.86,0.5,None
LOKMT,Lookout Mountain,34.98,-85.36,0.01,PC,RZ,0,Precip Acc 2018-06-28 23:24:00Z / Precip Acc 2018-06-29 02:14:00Z,9999,9999,9999,None
ICRN7,CHARLEY RIDGE,35.279444444444,-82.995,0.04,PP,RR,1001,05 Min 2018-06-28 23:25:00Z / Hourly 2018-06-29 00:00:00Z,9999,9999,9999,None
RKGW2,RUCKER GAP IFLOWS,37.941944444444,-80.075277777778,0.12,PP,RR,1001,Hourly 2018-06-29 00:00:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
CSG,COLUMBUS AIRPORT,32.516111111111,-84.942222222222,0.08,PP,RZ,1001,Hourly 2018-06-28 23:30:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
MCRG1,McRae,31.991388888889,-82.921944444444,0.01,PC,RG,0,Precip Acc 2018-06-28 23:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
WETG1,West Point Dam,32.918333333333,-85.188333333333,0.01,PC,RG,0,Precip Acc 2018-06-28 23:30:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
DFYG1,Dames Ferry,33.016666666667,-83.727222222222,0.01,PC,RG,0,Precip Acc 2018-06-28 23:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
WCSG1,Southwest Fayetteville,33.4213888888889,-84.4927777777778,0.01,PC,RG,0,Precip Acc 2018-06-28 23:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
MYRG1,Conyers below Milstead,33.666944444444,-83.938055555556,0.01,PC,RG,0,Precip Acc 2018-06-28 23:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
CLAT1,Celina,36.554166666667,-85.514444444444,0.01,PC,RG,0,Hourly 2018-06-29 00:00:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
