lid,lat,lon,temp,validtime
CMLG1,31.21,-84.24,99,2018-06-29 02:04:00
BXYG1,31.7136111111111,-82.3877777777778,94,2018-06-29 02:04:00
AELG1,31.11,-83.43,94,2018-06-29 02:04:00
WHIS1,34.616666666667,-81.583333333333,76,2018-06-29 02:03:00
LOUG1,32.975,-82.352777777778,94,2018-06-29 02:03:00
MRAG1,32.096388888889,-82.884166666667,99,2018-06-29 02:03:00
BOLG1,33.009722222222,-83.716388888889,98,2018-06-29 02:03:00
HRDG1,33.010277777778,-83.207222222222,71,2018-06-29 02:03:00
PLAG1,32.110555555556,-84.184166666667,72,2018-06-29 02:03:00
MTFG1,32.3911111111111,-82.0372222222222,73,2018-06-29 02:03:00
E5643,35.162,-85.178,67,2018-06-29 01:32:47
NNAG1,33.365277777778,-84.859444444444,99,2018-06-29 02:02:00
TRMK2,38.175,-83.4083333333333,73,2018-06-29 02:02:00
WSNG1,33.7805555555556,-82.8161111111111,87,2018-06-29 02:02:00
EJAG1,34.758888888889,-84.766388888889,98,2018-06-29 02:02:00
AFRG1,33.896666666667,-83.365555555556,69,2018-06-29 02:02:00
DSVG1,34.3763888888889,-84.06,98,2018-06-29 02:02:00
DLSG1,33.942777777778,-84.791944444444,96,2018-06-29 02:02:00
C2074,33.87117,-83.113,71,2018-06-29 01:28:34
JONG1,34.55,-84.25,98,2018-06-29 02:01:00
SOMK2,37.055555555556,-84.615,88,2018-06-29 02:01:00
LKRV2,37.986388888889,-79.759444444444,71,2018-06-29 02:01:00
D7491,35.242,-84.798,80,2018-06-29 01:20:12
SKYN7,35.495,-82.615,68,2018-06-29 01:20:00
HDCG1,34.700833333333,-83.729444444444,70,2018-06-29 02:00:00
CBUG1,32.472777777778,-84.996666666667,71,2018-06-29 01:30:00
WETG1,32.918333333333,-85.188333333333,70,2018-06-29 02:00:00
SRB,36.06,-85.53,68,2018-06-29 02:00:00
4A9,34.4736111111111,-85.7213888888889,68,2018-06-29 02:00:00
RUQ,35.645833333333,-80.520277777778,72,2018-06-29 02:00:00
TNB,36.2,-81.65,69,2018-06-29 02:00:00
SYI,35.56,-86.439722222222,70,2018-06-29 02:00:00
THA,35.38,-86.25,68,2018-06-29 02:00:00
MDQ,34.86,-86.56,69,2018-06-29 02:00:00
RNC,35.7,-85.84,68,2018-06-29 02:00:00
MRC,35.549722222222,-87.18,72,2018-06-29 02:00:00
8A0,34.2291666666667,-86.2558333333333,68,2018-06-29 02:00:00
MOR,36.18,-83.38,73,2018-06-29 02:00:00
MKJ,36.8947222222222,-81.35,71,2018-06-29 02:00:00
EHO,35.255555555556,-81.600833333333,76,2018-06-29 02:00:00
VJI,36.6869444444444,-82.0336111111111,73,2018-06-29 02:00:00
LUG,35.509722222222,-86.799722222222,72,2018-06-29 02:00:00
CMD,34.27,-86.8583333333333,67,2018-06-29 02:00:00
BGF,35.178333333333,-86.066666666667,70,2018-06-29 02:00:00
HSP,37.9513888888889,-79.8341666666667,68,2018-06-29 02:00:00
LWB,37.858333333333,-80.399722222222,72,2018-06-29 02:00:00
HLX,36.7661111111111,-80.8238888888889,72,2018-06-29 02:00:00
JQF,35.387777777778,-80.709166666667,77,2018-06-29 02:00:00
GEV,36.4325,-81.419722222222,70,2018-06-29 02:00:00
1A5,35.2225,-83.418888888889,69,2018-06-29 02:00:00
CSG,32.516111111111,-84.942222222222,72,2018-06-29 02:00:00
BWG,36.9644444444444,-86.4194444444444,79,2018-06-29 02:00:00
FFC,33.35,-84.5666666666667,70,2018-06-29 02:00:00
JKL,37.6,-83.3166666666667,76,2018-06-29 02:00:00
UZA,34.986944444444,-81.0575,78,2018-06-29 02:00:00
ATL,33.63,-84.441666666667,70,2018-06-29 02:00:00
ABY,31.5377777777778,-84.1938888888889,75,2018-06-29 02:00:00
CHA,35.0247222222222,-85.2033333333333,70,2018-06-29 02:00:00
TRI,36.475,-82.4075,75,2018-06-29 01:45:00
CKV,36.536111111111,-87.365277777778,76,2018-06-29 02:00:00
AVL,35.431944444444,-82.5375,72,2018-06-29 02:00:00
AKH,35.2,-81.150555555556,77,2018-06-29 02:00:00
ROA,37.320833,-79.967778,76,2018-06-29 02:00:00
LYH,37.324722,-79.215833,73,2018-06-29 02:00:00
MWK,36.459722222222,-80.553055555556,78,2018-06-29 02:00:00
GYH,34.758333333333,-82.376388888889,73,2018-06-29 02:00:00
MSL,34.75,-87.6166666666667,75,2018-06-29 02:00:00
GMU,34.848055555556,-82.35,80,2018-06-29 02:00:00
GSP,34.898888888889,-82.213888888889,76,2018-06-29 02:00:00
CSV,35.954166666667,-85.0825,70,2018-06-29 01:43:00
BNA,36.116666666667,-86.7,75,2018-06-29 02:00:00
VPC,34.1230555555556,-84.8486111111111,68,2018-06-29 01:31:00
DAN,36.5727777777778,-79.3361111111111,74,2018-06-29 02:00:00
HSV,34.6438888888889,-86.7688888888889,72,2018-06-29 02:00:00
TYS,35.8125,-83.9927777777778,72,2018-06-29 02:00:00
LOZ,37.083333,-84.066667,77,2018-06-29 02:00:00
FTY,33.7833333333333,-84.5277777777778,69,2018-06-29 02:00:00
DCU,34.6525,-86.9452777777778,70,2018-06-29 02:00:00
DNL,33.4663888888889,-82.0391666666667,80,2018-06-29 02:00:00
MCN,32.7,-83.65,71,2018-06-29 02:00:00
MQY,36.008888888889,-86.52,73,2018-06-29 02:00:00
GRD,34.249444444444,-82.158333333333,73,2018-06-29 02:00:00
KAHN,33.95,-83.3166666666667,70,2018-06-29 01:20:00
PDK,33.875,-84.3022222222222,69,2018-06-29 02:00:00
LQK,34.81,-82.702777777778,73,2018-06-29 02:00:00
HKY,35.741111111111,-81.389444444444,77,2018-06-29 02:00:00
SVH,35.765,-80.953888888889,75,2018-06-29 02:00:00
CLT,35.214444444444,-80.943611111111,79,2018-06-29 02:00:00
EQY,35.018888888889,-80.620277777778,81,2018-06-29 02:00:00
GVL,34.2727777777778,-83.8266666666667,69,2018-06-29 02:00:00
8A3,36.409722222222,-85.31,72,2018-06-29 02:00:00
CEU,34.671944444444,-82.886666666667,74,2018-06-29 02:00:00
MTV,36.630555555556,-80.018611111111,72,2018-06-29 02:00:00
AND,34.495,-82.709166666667,74,2018-06-29 02:00:00
BCB,37.2075,-80.408333333333,71,2018-06-29 02:00:00
PSK,37.137222222222,-80.678611111111,75,2018-06-29 02:00:00
MRN,35.821388888889,-81.610833333333,72,2018-06-29 02:00:00
FLTN7,35.418611111111,-82.556666666667,71,2018-06-29 01:20:00
NFGT1,35.610833333333,-83.428888888889,60,2018-06-29 01:30:00
PGVT1,35.981944444444,-82.843333333333,96,2018-06-29 01:59:00
BSFT1,36.475,-84.654166666667,95,2018-06-29 01:59:00
SFRV2,37.0111111111111,-81.1786111111111,68,2018-06-29 01:58:00
CHKN7,35.619722222222,-83.206944444444,65,2018-06-29 01:57:00
RUTN7,35.428611111111,-81.939444444444,76,2018-06-29 01:46:00
POPN7,36.073611111111,-82.206111111111,65,2018-06-29 01:45:00
PTTV2,36.7763888888889,-80.0272222222222,78,2018-06-29 01:30:00
LCXA1,34.6602777777778,-87.3461111111111,72,2018-06-29 01:20:00
RUXA1,34.453611,-87.909444,71,2018-06-29 01:20:00
CUXA1,34.19555,-86.79638,67,2018-06-29 01:20:00
CHDS1,33.6630555555556,-82.1897222222222,77,2018-06-29 01:20:00
MSXA1,34.77111,-87.64972,75,2018-06-29 01:20:00
VHXA1,34.5652777777778,-85.6169444444444,67,2018-06-29 01:20:00
SCXA1,34.694167,-85.99972,70,2018-06-29 01:20:00
COWN7,35.479444444444,-83.327222222222,99,2018-06-29 01:32:00
LRWA1,34.4977777777778,-85.6291666666667,97,2018-06-29 01:32:00
TOSN7,35.536111111111,-83.285,97,2018-06-29 01:32:00
KNGS1,35.145555555556,-81.402222222222,94,2018-06-29 01:31:00
IGGT1,35.6236,-83.8083,68,2018-06-29 01:31:00
STCN7,36.07,-81.799166666667,84,2018-06-29 01:28:00
BHFA1,34.344166666667,-87.3375,99,2018-06-29 01:27:00
YELK2,36.6036111111111,-83.6961111111111,91,2018-06-29 01:26:00
SVNS1,32.1,-81.08,77,2018-06-29 01:23:00
MERT1,35.504166666667,-87.457777777778,97,2018-06-29 01:22:00
