lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
BPGT1,Bethpage,36.486111111111,-86.310277777778,0.17,PC,RG,0,Hourly 2018-06-28 02:00:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
TURT1,TURTLETOWN,35.1825,-84.438333333333,1.24,PC,RG,0,Hourly 2018-06-28 02:00:00Z / Precip Acc 2018-06-29 01:00:00Z,1595255510000,9999,9999,None
CKYT1,Chuckey,36.219166666667,-82.702777777778,0.46,PC,RG,0,Hourly 2018-06-28 02:00:00Z / Precip Acc 2018-06-29 01:30:00Z,1585235810000,9999,9999,None
CUXA1,Cullman Ag Station,34.19555,-86.79638,0.9,PP,RG,5,Hourly 2018-06-28 02:00:00Z / 05 Min 2018-06-29 01:40:00Z,9999,9999,9999,None
HDSN7,HIGHLANDS DCP,35.070277777778,-83.216666666667,0.27,PC,RG,0,Hourly 2018-06-28 02:00:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
ORIV2,ORISKANY IFLOWS,37.618055555556,-79.987222222222,0.04,PP,RR,1001,Hourly 2018-06-28 02:00:00Z / Hourly 2018-06-29 01:00:00Z,9999,9999,9999,None
MTRV2,MOUNT ROGERS,36.807778,-81.424444,0.04,PP,RR,1001,Hourly 2018-06-28 02:00:00Z / Hourly 2018-06-29 01:00:00Z,9999,9999,9999,None
MCN,Macon Airport,32.7,-83.65,0.62,PP,RZ,1001,Hourly 2018-06-28 02:00:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
CKSV2,CASEKNIFE STN IFLOWS,37.003888888889,-80.873333333333,0.04,PP,RR,1001,Hourly 2018-06-28 02:00:00Z / Hourly 2018-06-29 01:00:00Z,9999,9999,9999,None
RBKV2,WISE,36.9,-82.5333333333333,0.04,PP,RR,1001,Hourly 2018-06-28 02:00:00Z / Hourly 2018-06-29 01:00:00Z,9999,9999,9999,None
MRST1,Morrison,35.616388888889,-85.894166666667,0.76,PC,RG,0,Hourly 2018-06-28 02:00:00Z / Precip Acc 2018-06-29 01:00:00Z,9999,9999,9999,None
