lid,lat,lon,winds,windg,windd,validtime
TSQN7,35.0747,-84.1267,0,0,292,2018-06-29 02:05:00
AR243,30.78,-84.87,0,1,306,2018-06-29 01:34:27
DARN7,35.350555555556,-82.778611111111,0,0,291,2018-06-29 02:04:00
MDWG1,31.78,-81.44,1,0,250,2018-06-29 02:04:00
TAYN7,35.911666666667,-81.136666666667,2,0,298,2018-06-29 02:04:00
STRG1,31.26,-81.61,0,0,294,2018-06-29 02:04:00
OKEG1,31.11,-82.26,0,0,297,2018-06-29 02:04:00
CMLG1,31.21,-84.24,0,0,296,2018-06-29 02:04:00
BXYG1,31.7136111111111,-82.3877777777778,0,0,297,2018-06-29 02:04:00
AELG1,31.11,-83.43,0,0,297,2018-06-29 02:04:00
WHIS1,34.616666666667,-81.583333333333,0,0,297,2018-06-29 02:03:00
BOLG1,33.009722222222,-83.716388888889,0,0,294,2018-06-29 02:03:00
MRAG1,32.096388888889,-82.884166666667,0,0,169,2018-06-29 02:03:00
HRDG1,33.010277777778,-83.207222222222,2,0,294,2018-06-29 02:03:00
LOUG1,32.975,-82.352777777778,0,0,295,2018-06-29 02:03:00
PLAG1,32.110555555556,-84.184166666667,5,0,138,2018-06-29 02:03:00
MTFG1,32.3911111111111,-82.0372222222222,0,0,295,2018-06-29 02:03:00
E5643,35.162,-85.178,0,0,236,2018-06-29 01:32:47
WSNG1,33.7805555555556,-82.8161111111111,0,0,269,2018-06-29 02:02:00
AFRG1,33.896666666667,-83.365555555556,0,0,340,2018-06-29 02:02:00
TRMK2,38.175,-83.4083333333333,0,0,297,2018-06-29 02:02:00
NNAG1,33.365277777778,-84.859444444444,0,0,273,2018-06-29 02:02:00
DLSG1,33.942777777778,-84.791944444444,3,0,311,2018-06-29 02:02:00
DSVG1,34.3763888888889,-84.06,0,0,356,2018-06-29 02:02:00
EJAG1,34.758888888889,-84.766388888889,0,0,293,2018-06-29 02:02:00
C2074,33.87117,-83.113,0,0,232,2018-06-29 01:28:34
LKRV2,37.986388888889,-79.759444444444,0,0,294,2018-06-29 02:01:00
SOMK2,37.055555555556,-84.615,0,0,298,2018-06-29 02:01:00
JONG1,34.55,-84.25,0,0,296,2018-06-29 02:01:00
D7491,35.242,-84.798,0,0,192,2018-06-29 01:20:12
CBUG1,32.472777777778,-84.996666666667,2,9999,201,2018-06-29 01:30:00
AHCG1,33.788333333333,-83.393333333333,1,9999,9999,2018-06-29 02:00:00
SKYN7,35.495,-82.615,0,9999,9999,2018-06-29 02:00:00
WETG1,32.918333333333,-85.188333333333,2,9999,293,2018-06-29 02:00:00
FLTN7,35.418611111111,-82.556666666667,2,9999,9999,2018-06-29 02:00:00
HDCG1,34.700833333333,-83.729444444444,3,9999,151,2018-06-29 02:00:00
PGVT1,35.981944444444,-82.843333333333,0,0,25,2018-06-29 01:59:00
BSFT1,36.475,-84.654166666667,0,0,295,2018-06-29 01:59:00
SFRV2,37.0111111111111,-81.1786111111111,0,0,293,2018-06-29 01:58:00
CHKN7,35.619722222222,-83.206944444444,0,0,291,2018-06-29 01:57:00
RUTN7,35.428611111111,-81.939444444444,0,0,297,2018-06-29 01:46:00
POPN7,36.073611111111,-82.206111111111,1,0,176,2018-06-29 01:45:00
CHDS1,33.6630555555556,-82.1897222222222,2,9999,196,2018-06-29 01:20:00
TOSN7,35.536111111111,-83.285,0,0,292,2018-06-29 01:32:00
COWN7,35.479444444444,-83.327222222222,0,0,293,2018-06-29 01:32:00
LRWA1,34.4977777777778,-85.6291666666667,0,0,292,2018-06-29 01:32:00
IGGT1,35.6236,-83.8083,1,0,293,2018-06-29 01:31:00
KNGS1,35.145555555556,-81.402222222222,0,0,297,2018-06-29 01:31:00
STCN7,36.07,-81.799166666667,0,0,181,2018-06-29 01:28:00
BHFA1,34.344166666667,-87.3375,0,0,294,2018-06-29 01:27:00
YELK2,36.6036111111111,-83.6961111111111,0,0,297,2018-06-29 01:26:00
SVNS1,32.1,-81.08,5,0,298,2018-06-29 01:23:00
MERT1,35.504166666667,-87.457777777778,0,0,294,2018-06-29 01:22:00
