lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
MLMV2,MILL MOUNTAIN IFLOWS,37.250555555556,-79.932222222222,0.04,PP,RR,1001,Hourly 2018-06-27 12:00:00Z / Hourly 2018-06-28 11:00:00Z,9999,9999,9999,None
SNCV2,STONE CREEK AT PENNINGTON GAP,36.773888888889,-83.0325,0.12,PP,RR,5,Hourly 2018-06-27 12:00:00Z / 05 Min 2018-06-28 11:20:00Z,1591285900000,9999,9999,None
PORT1,Port Royal,36.553888888889,-87.141944444444,0.34,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:30:00Z,9999,9999,9999,None
VSUV2,VESUVIUS IFLOWS,37.915,-79.1944444444444,0.16,PP,RR,5,Hourly 2018-06-27 12:00:00Z / 05 Min 2018-06-28 11:40:00Z,9999,9999,9999,None
CKVT1,Clarksville,36.522222222222,-87.377777777778,0.03,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:30:00Z,9999,9999,9999,None
KRKV2,KONNAROCK,36.6666666666667,-81.6,0.01,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:15:00Z,9999,9999,9999,None
BRFN7,#26 BRADFORD AIRFIELD,35.409166666667,-80.793888888889,0.21,PC,RR,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:50:00Z,9999,9999,9999,None
CBOT1,CRAB ORCHARD RAIN GAUGE,35.911388888889,-84.889444444444,1.36,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:00:00Z,9999,9999,9999,None
WLKN7,W KERR SCOTT RESV,36.133611111111,-81.226666666667,0.01,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 10:45:00Z,9999,9999,9999,None
BPGT1,Bethpage,36.486111111111,-86.310277777778,0.6,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:30:00Z,9999,9999,9999,None
TRTV2,TROUT DALE DCP,36.7066666666667,-81.2983333333333,0.02,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:30:00Z,9999,9999,9999,None
DNL,Augusta - Daniel Field Airport,33.4663888888889,-82.0391666666667,0.66,PP,RZ,1001,Hourly 2018-06-27 12:00:00Z / Hourly 2018-06-28 12:00:00Z,9999,9999,9999,None
EMGT1,ELLIS MILLS,36.310833333333,-87.554166666667,0.07,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:00:00Z,9999,9999,9999,None
WWLT1,WHITWELL,35.208611111111,-85.519444444444,0.37,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:30:00Z,1597234100000,9999,9999,None
MCN,Macon Airport,32.7,-83.65,0.23,PP,RZ,1001,Hourly 2018-06-27 12:00:00Z / Hourly 2018-06-28 12:00:00Z,9999,9999,9999,None
CKEN7,CHEROKEE 8 NE,35.570555555556,-83.242777777778,1.12,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:15:00Z,9999,9999,9999,None
BRWN7,BRIDGEWATER,35.743055555556,-81.837222222222,0.12,PP,RZ,1001,Hourly 2018-06-27 12:00:00Z / Hourly 2018-06-28 10:00:00Z,9999,9999,9999,None
GSP,GSP AIRPORT,34.898888888889,-82.213888888889,0.4,PP,RZ,1001,Hourly 2018-06-27 12:00:00Z / Hourly 2018-06-28 12:00:00Z,9999,9999,9999,None
CHAN7,CHATUGE DAM NEAR HAYESVILLE,35.019722222222,-83.790833333333,1.3,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:15:00Z,1595297100000,9999,9999,None
CRKT1,CHEROKEE DAM,36.1691666666667,-83.4977777777778,0.64,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:15:00Z,1581257110000,9999,9999,None
MASV2,MASON COVE IFLOWS,37.371666666667,-80.076388888889,0.55,PP,RR,1001,Hourly 2018-06-27 12:00:00Z / Hourly 2018-06-28 11:00:00Z,9999,9999,9999,None
BRIG1,Hilltonia 4N,32.933333333333,-81.651388888889,0.08,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:00:00Z,9999,9999,9999,None
MHDT1,MELTON HILL DAM,35.8853,-84.3,1.0,PC,RG,0,Hourly 2018-06-27 12:00:00Z / Precip Acc 2018-06-28 11:30:00Z,1592257300000,9999,9999,None
ORIV2,ORISKANY IFLOWS,37.618055555556,-79.987222222222,0.08,PP,RR,1001,Hourly 2018-06-27 12:00:00Z / Hourly 2018-06-28 11:00:00Z,9999,9999,9999,None
CIRV2,CIRCLE M IFLOWS,36.713611111111,-80.334166666667,0.2,PP,RR,1001,Hourly 2018-06-27 12:00:00Z / Hourly 2018-06-28 11:00:00Z,9999,9999,9999,None
