lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
WKHV2,WALKER HOUSE IFLOWS,36.836111111111,-81.578611111111,0.04,PP,RR,1001,05 Min 2018-06-29 00:20:00Z / Hourly 2018-06-29 01:00:00Z,9999,9999,9999,None
KNYN7,#21 KENNEDY JR HIGH SCHOOL,35.153611111111,-80.955833333333,0.01,PC,RR,0,Hourly 2018-06-29 01:00:00Z / Precip Acc 2018-06-29 02:10:00Z,9999,9999,9999,None
C0041,Brunswick,31.24,-81.5,0.08,PC,RZ,0,Precip Acc 2018-06-29 00:22:08Z / Precip Acc 2018-06-29 02:12:08Z,9999,9999,9999,None
RKGW2,RUCKER GAP IFLOWS,37.941944444444,-80.075277777778,0.12,PP,RR,1001,Hourly 2018-06-29 01:00:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
HCCG1,Lumpkin,32.0511111111111,-84.7763888888889,0.02,PC,RG,0,Precip Acc 2018-06-29 00:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
UPAG1,Fort Benning,32.413333333333,-84.82,0.01,PC,RG,0,Precip Acc 2018-06-29 00:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
PNFG1,Penfield,33.721111111111,-83.295555555556,0.01,PC,RG,0,Hourly 2018-06-29 01:00:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
UNIG1,Union,32.152777777778,-84.905833333333,0.02,PC,RG,0,Precip Acc 2018-06-29 00:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
WCSG1,Southwest Fayetteville,33.4213888888889,-84.4927777777778,0.01,PC,RG,0,Precip Acc 2018-06-29 00:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
NRVG1,Franklin,33.235277777778,-84.987777777778,0.01,PC,RG,0,Precip Acc 2018-06-29 00:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
COWN7,COW MOUNTAIN RAWS,35.479444444444,-83.327222222222,0.06,PC,RZ,0,Hourly 2018-06-29 00:32:00Z / Precip Acc 2018-06-29 01:32:00Z,9999,9999,9999,None
OTTN7,OTTO,35.057777777778,-83.385277777778,0.01,PP,RR,5,Hourly 2018-06-29 01:00:00Z / 05 Min 2018-06-29 01:00:00Z,9999,9999,9999,None
BLDT1,BLEDSOE STATE FOREST,35.681944444444,-85.273333333333,0.01,PC,RG,0,Hourly 2018-06-29 01:05:00Z / Precip Acc 2018-06-29 02:05:00Z,1561296450000,1.57,0.6,None
CSFT1,CHUCK SWAN STATE FOREST,36.368888888889,-83.898611111111,0.01,PC,RG,0,Hourly 2018-06-29 01:05:00Z / Precip Acc 2018-06-29 02:05:00Z,1591219000000,1.79,0.6,None
JDRN7,JUDACULLA RIDGE,35.354444444444,-82.985,0.04,PP,RR,1001,05 Min 2018-06-29 01:05:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
FCRT1,FORT CAMPBELL RAWS,36.625555555556,-87.536944444444,0.05,PC,RG,0,Hourly 2018-06-29 01:15:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
SLMN7,SUGARLOAF MTN,35.406666666667,-82.268333333333,0.04,PP,RR,1001,05 Min 2018-06-29 01:20:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
