lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
BYNG1,Byron,32.691944444444,-83.701111111111,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
UNIG1,Union,32.152777777778,-84.905833333333,0.52,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
RFDG1,Rocky Ford,32.9822222222222,-81.8408333333333,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
NICG1,Mableton,33.803333333333,-84.521388888889,0.19,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
ENGG1,New England,34.8975,-85.463055555556,0.04,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
NPTG1,Chamblee,33.87,-84.2947222222222,0.02,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
ETOT1,ETOWAH,35.33,-84.520833333333,0.01,PC,RG,0,Hourly 2018-06-28 21:00:00Z / Precip Acc 2018-06-29 02:00:00Z,1595252310000,2.16,0.5,DHR * 1.0=0.01
NCKG1,Buckhead,33.869166666667,-84.378888888889,0.03,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:15:00Z,9999,9999,9999,None
MTOG1,Pine Mountain,32.8325,-84.8436111111111,0.11,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
ARCG1,Armuchee,34.360833333333,-85.140277777778,0.1,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:45:00Z,9999,9999,9999,None
SMCG1,Marietta,33.979166666667,-84.452222222222,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 01:30:00Z,9999,9999,9999,None
DLNG1,Dalton,34.788333333333,-84.975,0.01,PC,RG,0,Precip Acc 2018-06-28 20:30:00Z / Precip Acc 2018-06-29 02:00:00Z,9999,9999,9999,None
