lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
SLMN7,SUGARLOAF MTN,35.406666666667,-82.268333333333,0.04,PP,RR,1001,05 Min 2018-06-29 01:20:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
C0041,Brunswick,31.24,-81.5,0.03,PC,RZ,0,Precip Acc 2018-06-29 01:22:07Z / Precip Acc 2018-06-29 02:12:08Z,9999,9999,9999,None
COWN7,COW MOUNTAIN RAWS,35.479444444444,-83.327222222222,0.03,PC,RG,0,Hourly 2018-06-29 01:32:00Z / Precip Acc 2018-06-29 01:32:00Z,9999,9999,9999,None
JDRN7,JUDACULLA RIDGE,35.354444444444,-82.985,0.04,PP,RR,1001,Hourly 2018-06-29 02:00:00Z / Hourly 2018-06-29 02:00:00Z,9999,9999,9999,None
FCRT1,FORT CAMPBELL RAWS,36.625555555556,-87.536944444444,0.05,PC,RG,0,Hourly 2018-06-29 02:15:00Z / Precip Acc 2018-06-29 02:15:00Z,9999,9999,9999,None
