lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
LAAV2,LAFAYETTE SG/IFLOWS,37.236388888889,-80.209444444444,0.08,PP,RR,5,Hourly 2018-05-31 19:00:00Z / 05 Min 2018-05-31 19:45:00Z,9999,9999,9999,None
DECT1,DECATUR,35.5222,-84.7964,0.15,PC,RG,0,Hourly 2018-05-31 19:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1594274300000,1.48,10.1,MRMS * 2.5=0.15
FALT1,FALL CREEK,35.6825,-85.308611111111,0.25,PC,RG,0,Hourly 2018-05-31 19:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
MLRN7,MILLS RIVER,35.385555555556,-82.560833333333,0.4,PP,RR,5,Hourly 2018-05-31 19:00:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
CTHT1,Carthage,36.248055555556,-85.955277777778,0.2,PC,RG,0,Hourly 2018-05-31 19:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
DWSG1,Dawsonville,34.357777777778,-84.113611111111,0.01,PC,RG,0,Hourly 2018-05-31 19:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
SUPW2,WHITE SULFUR SPGS DCP,37.798333,-80.478333,0.26,PC,RG,0,Hourly 2018-05-31 19:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
PKST1,PARKSVILLE,35.095,-84.649166666667,0.35,PC,RG,0,Hourly 2018-05-31 19:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1596211390000,1.81,19.3,DPR * 1.59=0.35
STWT1,STONEWALL,36.19,-85.904722222222,0.28,PC,RG,0,Hourly 2018-05-31 19:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
TFLG1,TALLULAH FALLS PWR HOUSE,34.731944444444,-83.375833333333,0.07,PC,RG,0,Hourly 2018-05-31 19:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
NRST1,NORRIS DAM,36.223888888889,-84.091666666667,0.01,PC,RG,0,Hourly 2018-05-31 19:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1590211000000,2.03,0.5,DHR * 1.0=0.01
GIFT1,Grotto Falls,35.6806,-83.4637,0.08,PP,RR,5,Hourly 2018-05-31 19:00:00Z / 05 Min 2018-05-31 19:55:00Z,1584264710000,1.26,6.3,MRMS * 0.73=0.08
HSP,INGALLS FIELD AIRPORT,37.9513888888889,-79.8341666666667,0.04,PP,RZ,1001,Hourly 2018-05-31 19:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
