lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
EPWG1,Epworth,34.903333333333,-84.436111111111,0.21,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
CKYT1,Chuckey,36.219166666667,-82.702777777778,0.08,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1585235810000,9999,9999,None
LBST1,Lebanon,36.183333333333,-86.2375,0.38,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
SABS1,GREENWOOD RAIN NR SAMPLE BRANCH,34.215555555556,-82.155555555556,0.03,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
MASV2,MASON COVE IFLOWS,37.371666666667,-80.076388888889,0.04,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
BUEV2,BUSTED ROCK #2 IFLOWS,36.6888888888889,-80.3744444444444,0.36,PP,RR,5,Hourly 2018-05-30 20:00:00Z / 05 Min 2018-05-31 19:05:00Z,9999,9999,9999,None
GGRT1,GREAT FALLS DAM,35.806944444444,-85.636111111111,0.16,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
BRDG1,Blue Ridge Dam,34.880833333333,-84.281944444444,0.58,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
LAST1,Lascassas,35.918611111111,-86.333611111111,0.22,PC,RG,0,Hourly 2018-05-30 20:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
PKCV2,ST. CHARLES,36.8,-83.0833333333333,0.71,PP,RR,1001,Hourly 2018-05-30 20:00:00Z / Hourly 2018-05-31 19:00:00Z,1591286100000,9999,9999,None
