lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
DECT1,DECATUR,35.5222,-84.7964,0.85,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1594274300000,1.88,45.2,MRMS * 1.25=0.85
LAAV2,LAFAYETTE SG/IFLOWS,37.236388888889,-80.209444444444,0.08,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:45:00Z,9999,9999,9999,None
CLET1,CLEVELAND,35.183611111111,-84.821388888889,1.06,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1595219249000,2.33,45.5,MRMS * 0.78=1.06
HOTN7,BARNARD,35.883333333333,-82.74,0.03,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
TRAV2,TRAPPERS LODGE IFLOWS,37.989166666667,-79.802777777778,0.12,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
CKEN7,CHEROKEE 8 NE,35.570555555556,-83.242777777778,0.3,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
CSBV2,CASSIDY BRIDGE IFLOWS,38.134722222222,-79.865277777778,0.08,PP,RR,1001,Hourly 2018-05-31 17:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
COOT1,Cookeville,36.1069444444444,-85.5047222222222,0.72,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
STWT1,STONEWALL,36.19,-85.904722222222,0.3,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
GRTT1,Great Falls,35.808055555556,-85.633611111111,0.2,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
LBYV2,LITTLE BRUSHY IFLOWS,36.988055555556,-81.475555555556,0.02,PP,RR,1001,Hourly 2018-05-31 17:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
MRNV2,MARION TVA RG,36.8544444444444,-81.4819444444445,0.14,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
ADNV2,ADNEY GAP IFLOWS,37.1125,-80.125,0.04,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:55:00Z,9999,9999,9999,None
NRVV2,NRV AP IFLOWS,37.139166666667,-80.681388888889,0.12,PP,RR,1001,Hourly 2018-05-31 17:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
BFMV2,BUFFALO MTN. IFLOWS,36.776944444444,-80.517222222222,0.48,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:35:00Z,9999,9999,9999,None
CHOG1,Choestoe,34.8,-83.9,0.04,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
CSQG1,SOQUE RIVER AT GA 197 NR CLARKSVILLE,34.618611111111,-83.528888888889,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
LOGN7,2ND BROAD RVR NR LOGAN,35.404166666667,-81.872222222222,0.13,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
NTYG1,Nottely Dam Automated Rain Gage,34.9608333333333,-84.0869444444444,0.64,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
WAMV2,WARM SPRINGS MTN IFLOWS,37.871388888889,-79.888055555556,0.16,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
CLFT1,Clifton,35.372777777778,-87.983611111111,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
RDFV2,RADFORD,37.141666666667,-80.569444444444,0.03,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
DERT1,DEROSSETT,35.963055555556,-85.281388888889,0.03,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
RDDT1,RODDY,35.765555555556,-84.7775,0.03,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1586214170000,2.49,1.2,DPR * 0.75=0.03
WNRG1,Winder,34.045833333333,-83.711666666667,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
GIFT1,Grotto Falls,35.6806,-83.4637,0.16,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:55:00Z,1584264710000,2.08,7.7,MRMS * 0.59=0.16
STLT1,Statesville,36.018333333333,-86.120833333333,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 18:30:00Z,9999,9999,9999,None
CAVV2,CARVIN CREEK IFLOWS,37.3833333333333,-79.9466666666667,0.12,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:30:00Z,9999,9999,9999,None
NRST1,NORRIS DAM,36.223888888889,-84.091666666667,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:45:00Z,1590211000000,2.6,0.4,DHR * 1.0=0.01
PKTN7,PUMPKINTOWN,35.252777777778,-83.245277777778,0.64,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:55:00Z,9999,9999,9999,None
DISV2,DISMAL,37.247222,-80.854722,0.08,PP,RR,1001,Hourly 2018-05-31 17:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
FQD,RUTHERFORD COUNTY AP,35.428333333333,-81.935,0.12,PP,RZ,1001,Hourly 2018-05-31 17:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
LOZ,London,37.083333,-84.066667,0.09,PP,RZ,1001,Hourly 2018-05-31 17:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
ANVN7,VALLEY RIVER AT ANDREWS,35.205833333333,-83.817777777778,0.16,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:55:00Z,1595285900000,2.34,6.8,MRMS * 0.89=0.16
FALT1,FALL CREEK,35.6825,-85.308611111111,1.48,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
IROV2,IRONTO IFLOWS,37.1661111111111,-80.3530555555556,0.47,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
ISOT1,ISOLINE,36.078055555556,-84.889444444444,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
MBLN7,MARBLE,35.1883333333333,-83.9186111111111,0.1,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1595284000000,2.16,4.6,MRMS * 0.19=0.1
DUNT1,Dunlap,35.3633,-85.3806,0.06,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1597274100000,2.05,2.9,DPR * 0.33=0.06
HDSN7,HIGHLANDS DCP,35.070277777778,-83.216666666667,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
