lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
POTV2,POTTS MTN. IFLOWS,37.536111111111,-80.230277777778,0.04,PP,RR,5,05 Min 2018-05-31 17:30:00Z / 05 Min 2018-05-31 17:30:00Z,9999,9999,9999,None
ALRW2,ALDERSON IFLOWS,37.727777777778,-80.646666666667,0.04,PP,RR,5,05 Min 2018-05-31 17:30:00Z / 05 Min 2018-05-31 17:30:00Z,9999,9999,9999,None
BFMV2,BUFFALO MTN. IFLOWS,36.776944444444,-80.517222222222,0.04,PP,RR,5,05 Min 2018-05-31 17:30:00Z / 05 Min 2018-05-31 17:30:00Z,9999,9999,9999,None
BALW2,BALLARD IFLOWS,37.475,-80.7616666666667,0.04,PP,RR,5,05 Min 2018-05-31 17:30:00Z / 05 Min 2018-05-31 17:30:00Z,9999,9999,9999,None
PKTN7,PUMPKINTOWN,35.252777777778,-83.245277777778,0.12,PP,RR,5,05 Min 2018-05-31 17:30:00Z / 05 Min 2018-05-31 17:50:00Z,9999,9999,9999,None
NFGT1,Newfound Gap TN,35.610833333333,-83.428888888889,0.08,PP,RR,5,05 Min 2018-05-31 17:30:00Z / 05 Min 2018-05-31 17:55:00Z,1584264990000,0.78,10.3,MRMS * 0.8=0.08
HWEG1,Hiawassee,34.883888888889,-83.721666666667,0.01,PC,RG,0,Precip Acc 2018-05-31 17:30:00Z / Precip Acc 2018-05-31 17:45:00Z,9999,9999,9999,None
WLLV2,WILLIS DCP,36.86,-80.48,0.01,PC,RG,0,Precip Acc 2018-05-31 17:30:00Z / Precip Acc 2018-05-31 17:45:00Z,9999,9999,9999,None
BNHV2,BEN HUR,36.7205555555556,-83.1008333333333,0.04,PP,RR,5,05 Min 2018-05-31 17:35:00Z / 05 Min 2018-05-31 17:35:00Z,1591284000000,0.61,6.6,None
SERN7,SPEAR,36.024166666667,-82.021666666667,0.04,PP,RR,5,05 Min 2018-05-31 17:35:00Z / 05 Min 2018-05-31 17:35:00Z,9999,9999,9999,None
MBHV2,MOUNTAIN LAKE BIO IFLOWS,37.375555555556,-80.524722222222,0.04,PP,RR,5,05 Min 2018-05-31 17:40:00Z / 05 Min 2018-05-31 17:40:00Z,9999,9999,9999,None
CHSV2,CHESTNUT KNOB IFLOWS,36.6219444444444,-79.9102777777778,0.04,PP,RR,5,05 Min 2018-05-31 17:55:00Z / 05 Min 2018-05-31 17:55:00Z,9999,9999,9999,None
SLAV2,SLATE MTN. IFLOWS,36.778333333333,-80.392222222222,0.08,PP,RR,5,05 Min 2018-05-31 17:55:00Z / 05 Min 2018-05-31 17:55:00Z,9999,9999,9999,None
DISV2,DISMAL,37.247222,-80.854722,0.04,PP,RR,5,05 Min 2018-05-31 17:55:00Z / 05 Min 2018-05-31 17:55:00Z,9999,9999,9999,None
NRVV2,NRV AP IFLOWS,37.139166666667,-80.681388888889,0.12,PP,RR,5,05 Min 2018-05-31 17:55:00Z / 05 Min 2018-05-31 17:55:00Z,9999,9999,9999,None
MABW2,MEADOW BLUFF IFLOWS,37.909444444444,-80.667777777778,0.04,PP,RR,5,05 Min 2018-05-31 17:55:00Z / 05 Min 2018-05-31 17:55:00Z,9999,9999,9999,None
