lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
TUNN7,TUNI CREEK NC,35.088055555556,-83.738888888889,0.02,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 17:05:00Z,1595294300000,1.81,1.1,MRMS * 2.0=0.02
CHTT1,CHARLESTON,35.281666666667,-84.773055555556,0.03,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:30:00Z,1595217100000,1.7,1.8,None
CPRT1,COPPERHILL TN,35.003888888889,-84.386944444444,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:30:00Z,1596219100000,1.96,0.5,None
COHT1,CORDELL HULL HEADWATER,36.291666666667,-85.938888888889,0.04,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:00:00Z,9999,9999,9999,None
TURT1,TURTLETOWN,35.1825,-84.438333333333,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:00:00Z,1595255510000,1.61,0.6,None
CHSV2,CHESTNUT KNOB IFLOWS,36.6219444444444,-79.9102777777778,0.04,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 17:55:00Z,9999,9999,9999,None
WBOT1,Watts Bar Dam,35.6166666666667,-84.7833333333333,0.03,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:15:00Z,1594293000000,1.83,1.6,DHR * 0.33=0.03
PKTN7,PUMPKINTOWN,35.252777777778,-83.245277777778,0.28,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 17:50:00Z,9999,9999,9999,None
ALRW2,ALDERSON IFLOWS,37.727777777778,-80.646666666667,0.16,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 17:30:00Z,9999,9999,9999,None
PKVT1,PIKEVILLE,35.608888888889,-85.193888888889,0.64,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:00:00Z,1597297500000,1.61,39.8,DHR * 0.4=0.64
FONN7,FONTANA,35.450277777778,-83.805277777778,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
CMTN7,CHRISTMOUNT RAIN,35.591388888889,-82.291111111111,0.04,PP,RR,1001,Hourly 2018-05-31 17:00:00Z / Hourly 2018-05-31 17:00:00Z,9999,9999,9999,None
DISV2,DISMAL,37.247222,-80.854722,0.08,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 17:55:00Z,9999,9999,9999,None
IGPV2,Wise,37.0166666666667,-82.6,0.04,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 17:55:00Z,1590268000000,1.46,2.7,None
NFGT1,Newfound Gap TN,35.610833333333,-83.428888888889,0.08,PP,RR,5,Hourly 2018-05-31 17:00:00Z / 05 Min 2018-05-31 17:55:00Z,1584264990000,1.56,5.1,MRMS * 0.8=0.08
GVST1,TEMPERANCE HALL,36.086944444444,-85.907222222222,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:00:00Z,9999,9999,9999,None
ALPT1,Alpine,36.396944444444,-85.174444444444,0.01,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:15:00Z,9999,9999,9999,None
SGWN7,WATAUGA R. NR SUGAR GROVE,36.239166666667,-81.822222222222,0.02,PC,RG,0,Hourly 2018-05-31 17:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
MTRV2,MOUNT ROGERS,36.807778,-81.424444,0.04,PP,RR,1001,Hourly 2018-05-31 17:00:00Z / Hourly 2018-05-31 17:00:00Z,9999,9999,9999,None
