lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
JKL,Jackson,37.6,-83.3166666666667,0.08,PP,RZ,1001,Hourly 2018-05-31 12:00:00Z / Hourly 2018-05-31 18:00:00Z,9999,9999,9999,None
NATV2,NATURAL TUNNEL VA,36.712777777778,-82.7425,0.12,PP,RR,5,Hourly 2018-05-31 12:00:00Z / 05 Min 2018-05-31 17:25:00Z,1590252100000,2.51,4.8,MRMS * 0.92=0.12
BBKT1,BURBANK TN,36.148333333333,-82.101388888889,0.03,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:45:00Z,1580229500000,3.07,1.0,DHR * 1.0=0.03
BKHV2,ABINGDON,36.7166666666667,-82.0666666666667,0.04,PP,RR,1001,Hourly 2018-05-31 12:00:00Z / Hourly 2018-05-31 17:00:00Z,1578253590000,2.72,1.5,HPE * 0.8=0.04
LBYV2,LITTLE BRUSHY IFLOWS,36.988055555556,-81.475555555556,0.02,PP,RR,5,Hourly 2018-05-31 12:00:00Z / 05 Min 2018-05-31 17:25:00Z,9999,9999,9999,None
WLLV2,WILLIS DCP,36.86,-80.48,0.02,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:45:00Z,9999,9999,9999,None
LLDN7,LAKE LOGAN DAM,35.420833333333,-82.925,0.01,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
OQT,OAK RIDGE ASOS,36.0227777777778,-84.2333333333333,0.28,PP,RZ,1001,Hourly 2018-05-31 12:00:00Z / Hourly 2018-05-31 17:00:00Z,1592291200000,2.91,9.6,HPE * 1.08=0.28
IGPV2,Wise,37.0166666666667,-82.6,0.12,PP,RR,5,Hourly 2018-05-31 12:00:00Z / 05 Min 2018-05-31 17:55:00Z,1590268000000,2.08,5.8,MRMS * 2.0=0.12
WTBT1,WARTBURG,36.1166666666667,-84.6,0.38,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:30:00Z,1593243000000,2.91,13.1,DHR * 0.9=0.38
MATW2,MATAOKA IFLOWS,37.41,-81.248333333333,0.04,PP,RR,1001,Hourly 2018-05-31 12:00:00Z / Hourly 2018-05-31 17:00:00Z,9999,9999,9999,None
LXGV2,LEXINGTON IFLOWS,37.791111111111,-79.43,0.04,PP,RR,1001,Hourly 2018-05-31 12:00:00Z / Hourly 2018-05-31 17:00:00Z,9999,9999,9999,None
COHT1,CORDELL HULL HEADWATER,36.291666666667,-85.938888888889,0.06,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:00:00Z,9999,9999,9999,None
HWEG1,Hiawassee,34.883888888889,-83.721666666667,0.01,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:45:00Z,9999,9999,9999,None
CSV,CROSSVILLE MUNICIPAL AIRPORT,35.954166666667,-85.0825,0.11,PP,RZ,1001,Hourly 2018-05-31 12:00:00Z / Hourly 2018-05-31 18:00:00Z,9999,9999,9999,None
CCVT1,CADES COVE,35.603888888889,-83.782777777778,0.01,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:00:00Z,1589269900000,3.17,0.3,DPR * 0.05=0.01
BLF,BLUEFIELD FAA AIRPOR,37.3,-81.216667,0.05,PP,RZ,1001,Hourly 2018-05-31 12:00:00Z / Hourly 2018-05-31 18:00:00Z,9999,9999,9999,None
SOLT1,BEAVER CREEK AT SOLWAY,35.965,-84.178611111111,0.57,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:10:00Z,1592261000000,2.6,21.9,DHR * 0.97=0.57
MRNV2,MARION TVA RG,36.8544444444444,-81.4819444444445,0.14,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
DISV2,DISMAL,37.247222,-80.854722,0.08,PP,RR,5,Hourly 2018-05-31 12:00:00Z / 05 Min 2018-05-31 17:55:00Z,9999,9999,9999,None
EPWG1,Epworth,34.903333333333,-84.436111111111,0.1,PC,RG,0,Hourly 2018-05-31 12:00:00Z / Precip Acc 2018-05-31 17:00:00Z,9999,9999,9999,None
