lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
HOTN7,BARNARD,35.883333333333,-82.74,0.01,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:45:00Z,9999,9999,9999,None
WLLV2,WILLIS DCP,36.86,-80.48,0.03,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:45:00Z,9999,9999,9999,None
LLDN7,LAKE LOGAN DAM,35.420833333333,-82.925,0.01,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
HOPW2,BLUE BEND,37.925556,-80.265556,0.04,PP,RR,1001,Hourly 2018-05-31 06:00:00Z / Hourly 2018-05-31 17:00:00Z,9999,9999,9999,None
ABDV2,ABINGDON,36.685833333333,-81.983333333333,0.11,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:15:00Z,1579258900000,9999,9999,None
FGPT1,MULBERRY,36.5888888888889,-83.2277777777778,0.22,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:30:00Z,1591254900000,9999,9999,None
FNKN7,FRANKLIN DCP,35.2,-83.380277777778,0.01,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 16:45:00Z,9999,9999,9999,None
LFTT1,Lafayette,36.5208333333333,-86.0261111111111,0.01,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
DUNT1,Dunlap,35.3633,-85.3806,0.06,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:00:00Z,1597274100000,9999,9999,None
CLMT1,Coalmont,35.345,-85.6963888888889,0.64,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
MTRV2,MOUNT ROGERS,36.807778,-81.424444,0.04,PP,RR,1001,Hourly 2018-05-31 06:00:00Z / Hourly 2018-05-31 17:00:00Z,9999,9999,9999,None
GVST1,TEMPERANCE HALL,36.086944444444,-85.907222222222,0.02,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:00:00Z,9999,9999,9999,None
BDCN7,BEAVERDAM CREEK,35.480833333333,-82.697222222222,0.04,PP,RR,5,Hourly 2018-05-31 06:00:00Z / 05 Min 2018-05-31 17:50:00Z,9999,9999,9999,None
LVGT1,Livingston,36.383333333333,-85.316666666667,0.09,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 16:30:00Z,9999,9999,9999,None
CTHT1,Carthage,36.248055555556,-85.955277777778,0.05,PC,RG,0,Hourly 2018-05-31 06:00:00Z / Precip Acc 2018-05-31 17:00:00Z,9999,9999,9999,None
