lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
BRDG1,Blue Ridge Dam,34.880833333333,-84.281944444444,0.06,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
TURT1,TURTLETOWN,35.1825,-84.438333333333,0.01,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:00:00Z,1595255510000,2.36,0.4,HPE * 1.0=0.01
SGWN7,WATAUGA R. NR SUGAR GROVE,36.239166666667,-81.822222222222,0.02,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
PTST1,PETROS,36.1,-84.45,0.32,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:30:00Z,1593229100000,2.13,15.0,None
PIPW2,BLUESTONE R. AT PIPESTEM,37.543888888889,-81.010555555556,0.1,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:00:00Z,9999,9999,9999,None
GIFT1,Grotto Falls,35.6806,-83.4637,0.08,PP,RR,5,Hourly 2018-05-31 15:00:00Z / 05 Min 2018-05-31 17:25:00Z,1584264710000,2.05,3.9,DHR * 1.14=0.08
MBHV2,MOUNTAIN LAKE BIO IFLOWS,37.375555555556,-80.524722222222,0.04,PP,RR,5,Hourly 2018-05-31 15:00:00Z / 05 Min 2018-05-31 17:40:00Z,9999,9999,9999,None
EPWG1,Epworth,34.903333333333,-84.436111111111,0.1,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:00:00Z,9999,9999,9999,None
MRNV2,MARION TVA RG,36.8544444444444,-81.4819444444445,0.14,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
DNGV2,CLINCH RIVER AT DUNGANNON,36.830555555556,-82.461388888889,0.08,PP,RR,1001,Hourly 2018-05-31 15:00:00Z / Hourly 2018-05-31 17:00:00Z,1590258100000,2.11,3.8,MRMS * 1.33=0.08
NRVV2,NRV AP IFLOWS,37.139166666667,-80.681388888889,0.24,PP,RR,5,Hourly 2018-05-31 15:00:00Z / 05 Min 2018-05-31 17:55:00Z,9999,9999,9999,None
WTMV2,WHITETOP MOUNTAIN VA,36.633333333333,-81.6,0.04,PP,RR,1001,Hourly 2018-05-31 15:00:00Z / Hourly 2018-05-31 17:00:00Z,1489284800000,2.12,1.9,MRMS * 1.33=0.04
FONN7,FONTANA,35.450277777778,-83.805277777778,0.01,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:30:00Z,9999,9999,9999,None
CSVT1,Crossville NCDC CRN Site,36.013888888889,-85.134444444444,0.08,PP,RG,5,Hourly 2018-05-31 15:00:00Z / 05 Min 2018-05-31 17:10:00Z,9999,9999,9999,None
WBOT1,Watts Bar Dam,35.6166666666667,-84.7833333333333,0.03,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:15:00Z,1594293000000,2.28,1.3,DPR * 0.33=0.03
REDG1,Reidsville 3W,32.078333333333,-82.1775,0.01,PC,RG,0,Hourly 2018-05-31 15:00:00Z / Precip Acc 2018-05-31 17:00:00Z,9999,9999,9999,None
