lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
BFMV2,BUFFALO MTN. IFLOWS,36.776944444444,-80.517222222222,0.24,PP,RR,5,05 Min 2018-05-31 19:30:00Z / 05 Min 2018-05-31 19:35:00Z,9999,9999,9999,None
IPAN7,PANTHERTOWN,35.167777777778,-83.039166666667,0.28,PP,RR,5,05 Min 2018-05-31 19:30:00Z / 05 Min 2018-05-31 19:55:00Z,9999,9999,9999,None
PKRN7,PECKERWOOD RIDGE NC,35.186666666667,-84.196666666667,0.14,PP,RR,5,05 Min 2018-05-31 19:30:00Z / 05 Min 2018-05-31 19:45:00Z,1595258200000,0.93,15.1,DHR * 0.82=0.14
MRBN7,BEAVER CREEK,35.222222222222,-83.919722222222,1.15,PP,RR,5,05 Min 2018-05-31 19:30:00Z / 05 Min 2018-05-31 19:55:00Z,1595285400000,0.85,135.3,DHR * 1.46=1.15
CAVV2,CARVIN CREEK IFLOWS,37.3833333333333,-79.9466666666667,0.08,PP,RR,5,05 Min 2018-05-31 19:30:00Z / 05 Min 2018-05-31 19:30:00Z,9999,9999,9999,None
IROV2,IRONTO IFLOWS,37.1661111111111,-80.3530555555556,0.47,PP,RR,5,05 Min 2018-05-31 19:30:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
PCHN7,PEACHTREE,35.1147222222222,-83.9013888888889,0.08,PP,RR,5,05 Min 2018-05-31 19:30:00Z / 05 Min 2018-05-31 19:55:00Z,1595291610000,0.93,8.6,HPE * 1.0=0.08
IARN7,ARGURA,35.268611111111,-83.040833333333,0.04,PP,RR,5,05 Min 2018-05-31 19:30:00Z / 05 Min 2018-05-31 19:30:00Z,9999,9999,9999,None
NRST1,NORRIS DAM,36.223888888889,-84.091666666667,0.01,PC,RG,0,Precip Acc 2018-05-31 19:30:00Z / Precip Acc 2018-05-31 19:45:00Z,1590211000000,1.02,1.0,DHR * 1.0=0.01
DCNG1,Cornelia,34.540833333333,-83.622777777778,0.17,PC,RG,0,Precip Acc 2018-05-31 19:30:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
BTDN7,BEETREE DAM,35.6425,-82.399722222222,0.08,PC,RG,0,Precip Acc 2018-05-31 19:30:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
HOTN7,BARNARD,35.883333333333,-82.74,0.02,PC,RG,0,Precip Acc 2018-05-31 19:30:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
CEPN7,E FK PIGEON RVR,35.461666666667,-82.870277777778,0.33,PP,RR,5,Precip Acc 2018-05-31 19:30:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
SLLT1,RED BOILING SPRINGS,36.552222222222,-85.857222222222,0.03,PC,RG,0,Precip Acc 2018-05-31 19:30:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
IRBN7,ROCK BRIDGE,35.200555555556,-82.993055555556,0.04,PP,RR,5,05 Min 2018-05-31 19:35:00Z / 05 Min 2018-05-31 19:35:00Z,9999,9999,9999,None
IRCN7,ROBINSON CREEK,35.188333333333,-83.061944444444,0.04,PP,RR,5,05 Min 2018-05-31 19:35:00Z / 05 Min 2018-05-31 19:35:00Z,9999,9999,9999,None
WLFN7,WOLF MOUNTAIN,35.0352777777778,-84.2836111111111,0.67,PP,RR,5,05 Min 2018-05-31 19:35:00Z / 05 Min 2018-05-31 19:50:00Z,1596234900000,0.93,72.0,HPE * 0.92=0.67
MLRN7,MILLS RIVER,35.385555555556,-82.560833333333,0.4,PP,RR,5,05 Min 2018-05-31 19:35:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
OTTN7,OTTO,35.057777777778,-83.385277777778,0.02,PP,RR,5,05 Min 2018-05-31 19:35:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
LTYN7,LAKE TOXAWAY,35.124166666667,-82.9075,0.16,PP,RR,5,05 Min 2018-05-31 19:35:00Z / 05 Min 2018-05-31 19:45:00Z,9999,9999,9999,None
CTFN7,TROUT FARM,35.577777777778,-83.261388888889,0.04,PP,RR,5,05 Min 2018-05-31 19:40:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
GIFT1,Grotto Falls,35.6806,-83.4637,0.08,PP,RR,5,05 Min 2018-05-31 19:40:00Z / 05 Min 2018-05-31 19:55:00Z,1584264710000,0.63,12.7,MRMS * 0.73=0.08
WAMV2,WARM SPRINGS MTN IFLOWS,37.871388888889,-79.888055555556,0.16,PP,RR,5,05 Min 2018-05-31 19:40:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
BLRN7,BLUE ROCK,35.890833333333,-82.179444444444,0.08,PP,RR,5,05 Min 2018-05-31 19:40:00Z / 05 Min 2018-05-31 19:55:00Z,9999,9999,9999,None
BTNN7,BEETREE RAIN,35.681944444444,-82.400833333333,0.36,PP,RR,5,05 Min 2018-05-31 19:40:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
THDN7,THORPE DAM IFLOWS,35.195277777778,-83.151111111111,0.04,PP,RR,5,05 Min 2018-05-31 19:40:00Z / 05 Min 2018-05-31 19:40:00Z,9999,9999,9999,None
LAAV2,LAFAYETTE SG/IFLOWS,37.236388888889,-80.209444444444,0.08,PP,RR,5,05 Min 2018-05-31 19:45:00Z / 05 Min 2018-05-31 19:45:00Z,9999,9999,9999,None
IGPV2,Wise,37.0166666666667,-82.6,0.04,PP,RR,5,05 Min 2018-05-31 19:45:00Z / 05 Min 2018-05-31 19:45:00Z,1590268000000,0.73,5.5,None
TRAV2,TRAPPERS LODGE IFLOWS,37.989166666667,-79.802777777778,0.12,PP,RR,5,05 Min 2018-05-31 19:45:00Z / 05 Min 2018-05-31 19:50:00Z,9999,9999,9999,None
IHBN7,HOG BACK,35.161944444444,-83.003888888889,0.04,PP,RR,5,05 Min 2018-05-31 19:45:00Z / 05 Min 2018-05-31 19:45:00Z,9999,9999,9999,None
