lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
BRDG1,Blue Ridge Dam,34.880833333333,-84.281944444444,0.29,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
SGWN7,WATAUGA R. NR SUGAR GROVE,36.239166666667,-81.822222222222,0.02,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
BPGT1,Bethpage,36.486111111111,-86.310277777778,0.01,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
DRGV2,FLAT GAP,37.0166666666667,-82.6833333333333,0.52,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1590269100000,9999,9999,None
RDDT1,RODDY,35.765555555556,-84.7775,0.05,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1586214170000,9999,9999,None
BCB,VA TECH AIRPORT,37.2075,-80.408333333333,0.23,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 20:00:00Z,9999,9999,9999,None
CFKT1,CLEAR FORK NR ROBBINS 3NW,36.388888888889,-84.630277777778,0.24,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1557263100000,9999,9999,None
YOSV2,YOST IFLOWS,38.051666666667,-79.541111111111,0.04,PP,RR,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
OQT,OAK RIDGE ASOS,36.0227777777778,-84.2333333333333,0.33,PP,RZ,1001,Hourly 2018-05-31 08:00:00Z / Hourly 2018-05-31 19:00:00Z,1592291200000,9999,9999,None
CKEN7,CHEROKEE 8 NE,35.570555555556,-83.242777777778,0.42,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:15:00Z,9999,9999,9999,None
HIWN7,HIWASSEE DAM,35.150797,-84.178608,0.61,PC,RG,0,Hourly 2018-05-31 08:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1595257900000,9999,9999,None
