lid,name,lat,lon,value,pe,ts,dur,obstime,zonenum,ffg,ratio,topperformer
NPOL1,North Pole,90.00,00.00,0.00,RR,ts,1001,00-00-0000 00:00:00/00-00-0000 00:00:00,NCZ000,100.00,0,None
HOTN7,BARNARD,35.883333333333,-82.74,0.04,PC,RG,0,Hourly 2018-05-31 14:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
BALW2,BALLARD IFLOWS,37.475,-80.7616666666667,0.36,PP,RR,1001,Hourly 2018-05-31 14:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
WBOT1,Watts Bar Dam,35.6166666666667,-84.7833333333333,0.26,PC,RG,0,Hourly 2018-05-31 14:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1594293000000,2.5,10.4,DHR * 1.0=0.26
CCVT1,CADES COVE,35.603888888889,-83.782777777778,0.22,PC,RG,0,Hourly 2018-05-31 14:00:00Z / Precip Acc 2018-05-31 19:00:00Z,1589269900000,2.92,7.5,DPR * 1.05=0.22
NRVV2,NRV AP IFLOWS,37.139166666667,-80.681388888889,0.24,PP,RR,1001,Hourly 2018-05-31 14:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
LAAV2,LAFAYETTE SG/IFLOWS,37.236388888889,-80.209444444444,0.08,PP,RR,5,Hourly 2018-05-31 14:00:00Z / 05 Min 2018-05-31 19:45:00Z,9999,9999,9999,None
MBLN7,MARBLE,35.1883333333333,-83.9186111111111,0.11,PC,RG,0,Hourly 2018-05-31 14:00:00Z / Precip Acc 2018-05-31 19:15:00Z,1595284000000,2.8,3.9,MRMS * 0.2=0.11
NBOV2,NEBO IFLOWS,36.9008333333333,-81.425,0.08,PP,RR,1001,Hourly 2018-05-31 14:00:00Z / Hourly 2018-05-31 19:00:00Z,9999,9999,9999,None
CBYT1,COSBY,35.808888888889,-83.248333333333,0.04,PC,RG,0,Hourly 2018-05-31 14:00:00Z / Precip Acc 2018-05-31 19:30:00Z,1583225900000,3.03,1.3,DPR * 1.0=0.04
RBDS1,RICHARD B RUSSELL LAKE NR CALHOUN FALLS SC,34.101111111111,-82.618055555556,0.01,PC,RG,0,Hourly 2018-05-31 14:00:00Z / Precip Acc 2018-05-31 19:00:00Z,9999,9999,9999,None
DCNG1,Cornelia,34.540833333333,-83.622777777778,0.53,PC,RG,0,Hourly 2018-05-31 14:00:00Z / Precip Acc 2018-05-31 19:45:00Z,9999,9999,9999,None
LLDN7,LAKE LOGAN DAM,35.420833333333,-82.925,0.01,PC,RG,0,Hourly 2018-05-31 14:00:00Z / Precip Acc 2018-05-31 19:30:00Z,9999,9999,9999,None
CAVV2,CARVIN CREEK IFLOWS,37.3833333333333,-79.9466666666667,0.12,PP,RR,5,Hourly 2018-05-31 14:00:00Z / 05 Min 2018-05-31 19:30:00Z,9999,9999,9999,None
