lid,lat,lon,name,cwa,elev,obtype
SFHG1,33.697,-84.199,Lithonia,FFC,760,DCP
SFMG1,33.666,-84.225,Snapfinger,FFC,717.75,DCP
SFPG1,33.811,-84.248,Clarkston,FFC,952.2,DCP
SFRG1,31.966,-84.933,Sanford,FFC,0,DCP
SFRV2,37.011,-81.179,STONY FORK USFS RAWS,RNK,2540,DCP
SFTG1,33.748,-84.084,Lithonia,FFC,749.4,DCP
SFYV2,36.649,-82.751,Speers Ferry VA,MRX,1197,COOP
SGKK2,37.484,-82.93,Wayland,JKL,1680,Mesonet
SGLK2,37.583,-83.317,Noctor,JKL,1300,Mesonet
SGLT1,35.686,-83.54,FIGHTING CREEK ABOVE SUGARLANDS,MRX,0,Mesonet
SGMNT,35.16,-85.36,Signal Mountain 2NW,FFC,0,Mesonet
SGNLM,35.13,-85.33,Signal Mountain,FFC,0,Mesonet
SGRT1,35.687,-83.534,SUGARLANDS,MRX,0,Mesonet
SGWN7,36.239,-81.822,WATAUGA R. NR SUGAR GROVE,RNK,2640,DCP
SHAV2,37.14,-80.267,SHAWSVILLE SG/IFLOWS,RNK,1362,DCP
SHBT1,36.166,-86.724,SHELBY BOTTOMS NATURE CENTER,OHX,0,Mesonet
SHDT1,36.52,-82.096,SOUTH HOLSTON DAM,MRX,0,Mesonet
SHEA1,34.664,-86.554,Aldridge Creek / Sherwood Dr.,HUN,0,DCP
SHET1,35.483,-86.463,Shelbyville,OHX,680,DCP
SHKK2,38.097,-83.119,Sandy Hook,JKL,720,Mesonet
SHKT1,36.518,-82.541,KINGSPORT TN,MRX,1180,DCP
SHLG1,33.257,-84.362,Griffin,FFC,760,DCP
SHLT1,35.492,-86.478,Shelbyville Water Department,OHX,760,COOP
SHLV2,36.76,-81.631,S. FORK HOLSTON R. AT RIVERSIDE,RNK,2107,DCP
SHOG1,33.693,-84.254,Panthersville,FFC,763,DCP
SHOT1,35.155,-88.322,SHILOH NATIONAL MILITARY PARK RAWS,OHX,0,DCP
SHPG1,33.389,-84.623,Sharpsburg,FFC,783.3,DCP
SHRN7,35.489,-80.792,#36 WEST FK SUBSTN SHEARER RD,GSP,774,Mesonet
SHVT1,35.497,-86.499,Shelbyville,OHX,683.5,DCP
SIGT1,35.117,-85.367,SIGNAL MOUNTAIN,MRX,0,Mesonet
SIMS1,34.653,-82.298,SIMPSONVILLE 5 SW,GSP,645,DCP
SIMV2,37.169,-80.011,SIMMONDS GAP IFLOWS,RNK,1800,Mesonet
SIXN7,35.011,-80.828,SIX MILE CRK @ MARVIN RD #6512,GSP,615,DCP
SKLK2,37.067,-82.967,Skyline,JKL,1200,Mesonet
SKMN7,35.367,-83.22,SYLVA,GSP,3000,Mesonet
SKYN7,35.495,-82.615,SKYLAND 5 W CRN,GSP,0,DCP
SLAK2,37.85,-83.683,Slade,JKL,707,Mesonet
SLAV2,36.778,-80.392,SLATE MTN. IFLOWS,RNK,3140,Mesonet
SLCT1,36.55,-85.85,Red Boiling Springs,OHX,0,Mesonet
SLLT1,36.552,-85.857,RED BOILING SPRINGS,OHX,0,DCP
SLMG1,33.6,-83.083,Siloam,FFC,690,COOP
SLMN7,35.407,-82.268,SUGARLOAF MTN,GSP,3965,Mesonet
SLMT1,35.086,-86.253,Salem (13 SW Winchester),HUN,0,DCP
SLOV2,37.687,-79.696,SLOAN BRANCH IFLOWS,RNK,1690,Mesonet
SLTV2,36.889,-81.771,SALTVILLE COOP,RNK,1733,Mesonet
SLYN7,35.314,-81.534,SHELBY 2 NNE,GSP,920,Mesonet
SMAG1,33.894,-84.458,Smyrna,FFC,843.15,DCP
SMAT1,35.561,-86.446,SHELBYVILLE MUNICIPAL AIRPORT,OHX,803,Mesonet
SMCA1,34.285,-85.962,Crossville Ag Station,HUN,1195,DCP
SMCG1,33.979,-84.452,Marietta,FFC,920,DCP
SMEK2,37.117,-84.6,Somerset,JKL,955,Mesonet
SMEN7,35.11,-80.859,#56 S MECK HIGH SCHOOL,GSP,635,Mesonet
SMFG1,33.328,-84.509,Starrs Mill,FFC,750,DCP
SMFV2,36.807,-81.622,MF HOLSTON R. AT SEVEN MILE FORD IFLW/USGS,RNK,1970,DCP
SMGT1,35.94,-86.465,Smyrna,OHX,0,DCP
SMIA1,34.788,-87.886,Smithsonia,HUN,0,DCP
SMIK2,37.109,-83.281,SMILAX,JKL,1080,Mesonet
SMIT1,35.966,-85.793,Smithville,OHX,890,COOP
SMIV2,37.02,-79.53,SMITH MOUNTAIN LAKE RES.,RNK,0,Mesonet
SMMV2,36.661,-79.881,SMITH RIVER AT MARTINSVILLE,RNK,675,DCP
SMON7,35.228,-80.869,STEWART CK @ W MOREHEAD ST #6527,GSP,617.4,Mesonet
SMPN7,35.564,-81.718,SOUTH MTN RAWS,GSP,1550,DCP
SMRG1,34.467,-85.35,Summerville,FFC,760,COOP
SMRN7,35.236,-80.771,BRIAR CK @ SHAMROCK DR #6516,GSP,672,Mesonet
SMRV2,36.781,-80.025,SMITH RIVER NR. PHILPOTT,RNK,216,DCP
SMSS1,34.794,-82.229,E SIMPSONVILLE FD,GSP,970,Mesonet
SMVV2,37.381,-80.375,SIMMONSVILLE IFLOWS,RNK,2449,Mesonet
SMWV2,36.778,-80.249,SMITH R. NR WOOLWINE VA,RNK,1210,DCP
SNBT1,36.164,-84.896,JONES KNOB,MRX,1700,Mesonet
SNCG1,33.14,-83.203,Sinclair Dam,FFC,319,Mesonet
SNCV2,36.774,-83.032,STONE CREEK AT PENNINGTON GAP,MRX,1453,Mesonet
SNDK2,38.067,-83.183,Sandy Hook,JKL,800,DCP
SNET1,36.551,-83.233,SNEEDVILLE TWR,MRX,2420,Mesonet
SNGK2,37.5,-84.097,Sand Gap,JKL,1250,Mesonet
SNKG1,33.529,-84.928,Whitesburg,FFC,832.8,DCP
SNKT1,35.41,-86.07,SINKING POND AT AEDC,OHX,0,DCP
SNTN7,35.383,-83.883,SANTEELAH,GSP,0,Mesonet
SNWN7,35.268,-80.786,#27 HIDDEN VLY ELEM AT SNOW WHITE LN,GSP,735,Mesonet
SNYV2,36.844,-79.792,SNOW CRK/RTE 632 IFLOWS,RNK,1020,Mesonet
SOBV2,36.696,-78.881,SOUTH BOSTON COOP,RNK,340,Mesonet
SOCG1,33.773,-84.077,Lithonia,FFC,733.5,DCP
SOCN7,35.494,-83.156,SOCO GAP,GSP,5280,Mesonet
SODT1,35.359,-85.203,SODDY DAISY,MRX,0,Mesonet
SOLT1,35.965,-84.179,BEAVER CREEK AT SOLWAY,MRX,0,Mesonet
SOMK2,37.056,-84.615,Somerset,JKL,927,DCP
SOPS1,34.742,-82.303,SOUTHSIDE PARK,GSP,969,Mesonet
SOUG1,33.63,-84.129,South Lithonia,FFC,660.9,DCP
SPART,35.88,-85.47,Sparta 2S,FFC,0,Mesonet
SPAT1,35.957,-85.481,Sparta,OHX,1020,COOP
SPCT1,35.715,-84.879,SPRING CITY,MRX,833,COOP
SPET1,35.815,-85.424,SPENCER 5NE,OHX,0,Mesonet
SPGG1,33.484,-83.958,Snapping Shoals,FFC,0,DCP
SPGS1,34.908,-81.914,SPARTANBURG 3 SSE,GSP,610,Mesonet
SPGT1,36.037,-82.444,SPIVEY GAP,MRX,3500,Mesonet
SPIN7,35.94,-82.061,SPRUCE PINE 2 N,GSP,2780,Mesonet
SPIT1,35.676,-84.855,SPRING CITY COOP,MRX,755,COOP
SPIV2,37.181,-81.379,SPRINGVILLE IFLOWS,RNK,4326,Mesonet
SPJG1,33.803,-84.341,Atlanta,FFC,830,DCP
SPKK2,37.844,-82.668,Inez,JKL,1315,Mesonet
SPNW2,37.433,-81.11,SPANISHBURG IFLOWS SG/RG,RNK,2076,Mesonet
SPPN7,35.932,-82.002,SPRUCE PINE 2 NE,GSP,2850,Mesonet
SPRG1,33.283,-82.983,Sparta,FFC,570,COOP
SPRN7,36.465,-81.154,SPARTA COOP,RNK,2960,Mesonet
SPRT1,36.474,-86.847,Springfield,OHX,745,COOP
SPRV2,37.273,-80.544,SPRUCE RUN IFLOWS,RNK,2060,Mesonet
SPST1,36.513,-86.862,Springfield,OHX,0,DCP
SPSV2,37.287,-80.075,SALEM PUMP STN IFLOWS,RNK,1000,Mesonet
SPTG1,33.373,-82.139,Augusta 12SW,FFC,0,DCP
