lid,lat,lon,temp,validtime
ROA,37.320833,-79.967778,81,2018-06-05 22:00:00
MQY,36.008888888889,-86.52,82,2018-06-05 22:00:00
EHO,35.255555555556,-81.600833333333,81,2018-06-05 22:00:00
VJI,36.6869444444444,-82.0336111111111,79,2018-06-05 22:00:00
TNB,36.2,-81.65,74,2018-06-05 22:00:00
FLTN7,35.418611111111,-82.556666666667,78,2018-06-05 21:15:00
SKYN7,35.495,-82.615,74,2018-06-05 21:15:00
PGVT1,35.981944444444,-82.843333333333,77,2018-06-05 21:59:00
BSFT1,36.475,-84.654166666667,84,2018-06-05 21:59:00
SFRV2,37.0111111111111,-81.1786111111111,77,2018-06-05 21:58:00
CHKN7,35.619722222222,-83.206944444444,72,2018-06-05 21:57:00
RUTN7,35.428611111111,-81.939444444444,84,2018-06-05 21:46:00
PTTV2,36.7763888888889,-80.0272222222222,85,2018-06-05 21:15:00
POPN7,36.073611111111,-82.206111111111,70,2018-06-05 21:45:00
CUXA1,34.19555,-86.79638,80,2018-06-05 21:15:00
RUXA1,34.453611,-87.909444,81,2018-06-05 21:15:00
LCXA1,34.6602777777778,-87.3461111111111,82,2018-06-05 21:15:00
CHDS1,33.6630555555556,-82.1897222222222,80,2018-06-05 21:20:00
MSXA1,34.77111,-87.64972,82,2018-06-05 21:15:00
VHXA1,34.5652777777778,-85.6169444444444,78,2018-06-05 21:15:00
SCXA1,34.694167,-85.99972,81,2018-06-05 21:15:00
COWN7,35.479444444444,-83.327222222222,79,2018-06-05 21:32:00
TOSN7,35.536111111111,-83.285,77,2018-06-05 21:32:00
KNGS1,35.145555555556,-81.402222222222,84,2018-06-05 21:31:00
IGGT1,35.6236,-83.8083,77,2018-06-05 21:31:00
STCN7,36.07,-81.799166666667,77,2018-06-05 21:28:00
SVNS1,32.1,-81.08,86,2018-06-05 21:23:00
MERT1,35.504166666667,-87.457777777778,84,2018-06-05 21:22:00
MCMT1,35.683333333333,-85.8,81,2018-06-05 21:20:00
CCKT1,35.3814,-84.1231,79,2018-06-05 21:19:00
DPGG1,33.647222222222,-83.294722222222,80,2018-06-05 21:19:00
PIRW2,37.526388888889,-80.999166666667,76,2018-06-05 21:17:00
NCVN7,35.816666666667,-81.937222222222,77,2018-06-05 21:16:00
CGLN7,36.385555555556,-79.291944444444,82,2018-06-05 21:16:00
FCRT1,36.625555555556,-87.536944444444,85,2018-06-05 21:15:00
CMMG1,34.158333333333,-84.072222222222,80,2018-06-05 21:15:00
WSEV2,36.9681,-82.5597,78,2018-06-05 21:11:00
