lid,lat,lon,value,pe,ts,validtime,wfo,action,minorflood,moderateflood,majorflood,stagecat,upgradedeparture,streamname,county
ARTT1,36.541666666667,-83.630277777778,4.61,HG,RG,2018-05-31 19:15:00Z,MRX,15,17,22,26,Normal,-10.39,Arthur Tn,Claiborne
CHAT1,35.056111111111,-85.306388888889,638.86,HG,RG,2018-05-31 19:15:00Z,MRX,649,651,653,655,Normal,-10.14,Chattanooga At Walnut St. Bridge,Hamilton
CHKT1,35.013611111111,-85.210555555556,6.44,HG,RG,2018-05-31 19:15:00Z,MRX,16,18,22,27,Normal,-9.56,Chickamauga Tn,Hamilton
CLVV2,36.944722222222,-82.155,3.42,HG,RG,2018-05-31 19:45:00Z,MRX,12,14,19,24,Normal,-8.58,Cleveland Va,Russell
CPHT1,34.991666666667,-84.377222222222,4.21,HG,RG,2018-05-31 19:30:00Z,MRX,6,8,12,14,Normal,-1.79,Copperhill Tn,Polk
DOET1,36.344444444444,-82.210277777778,2.34,HG,RG,2018-05-31 19:15:00Z,MRX,5,8,9,10,Normal,-2.66,Elizabethton,Carter
EMBT1,36.176388888889,-82.4575,5.30,HG,RG,2018-05-31 19:15:00Z,MRX,10,12,16,20,Normal,-4.70,Embreeville Tn,Washington
EZBT1,36.355833333333,-82.223888888889,5.51,HG,RG,2018-05-31 19:00:00Z,MRX,7,8.5,11.5,14,Normal,-1.49,Watauga River At Elizabethton,Carter
GATV2,36.608611111111,-82.568055555556,3.10,HG,RG,2018-05-31 19:15:00Z,MRX,10,12,15,18,Normal,-6.90,Gate City Va,Scott
JNSV2,36.661944444444,-83.095,9.48,HG,RG,2018-05-31 19:45:00Z,MRX,15,18,30,35,Normal,-5.52,Jonesville Va,Lee
KNOT1,35.945833333333,-83.946666666667,813.47,HG,RG,2018-05-31 19:15:00Z,MRX,817,820,825,830,Normal,-3.53,Knoxville,Knox
MYVT1,35.786111111111,-83.884444444444,7.39,HG,RG,2018-05-31 19:30:00Z,MRX,15,18,21,24,Normal,-7.61,Little River At Maryville,Blount
NEPT1,35.960555555556,-83.174444444444,7.18,HG,RG,2018-05-31 19:00:00Z,MRX,6,8,10,12,Action,-0.82,Newport Tn,Cocke
NWPT1,35.981666666667,-83.161111111111,8.67,HG,RG,2018-05-31 19:45:00Z,MRX,8,10,16,20,Action,-1.33,Newport Tn,Cocke
OAKT1,35.983055555556,-84.558055555556,4.38,HG,RG,2018-05-31 19:00:00Z,MRX,12,27,28,30,Normal,-7.62,Oakdale Tn,Morgan
RVLT1,36.426111111111,-82.951944444444,3.10,HG,RG,2018-05-31 19:30:00Z,MRX,5,7,8,9,Normal,-1.90,Rogersville,Hawkins
SEET1,35.581388888889,-84.748055555556,0.52,HG,RG,2018-05-31 19:00:00Z,MRX,10,10,15,20,Normal,-9.48,Sewee Creek Near Decatur,Meigs
SEVT1,35.878333333333,-83.577777777778,2.93,HG,RG,2018-05-31 19:30:00Z,MRX,10,11,14,16,Normal,-7.07,Sevierville Tn,Sevier
SFYV2,36.648611111111,-82.750555555556,5.13,HG,RG,2018-05-31 19:15:00Z,MRX,16,18,28,32,Normal,-10.87,Speers Ferry Va,Scott
TAZT1,36.425,-83.398333333333,4.34,HG,RG,2018-05-31 19:00:00Z,MRX,10,12,16,21,Normal,-5.66,Tazewell Tn,Claiborne
TMVN7,35.138888888889,-83.980555555556,4.12,HG,RG,2018-05-31 19:30:00Z,MRX,6,12,13,14,Normal,-1.88,Tomotla, NC
WHTT1,35.206388888889,-85.497222222222,8.46,HG,RG,2018-05-31 19:15:00Z,MRX,12,14,18,19,Normal,-3.54,Whitwell Tn,Marion
